Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
الأصول,,1,,1,,Asset,LYD
النقد وما في حكمه,الأصول,1100,1,1,Cash,Asset,LYD
الخزينة,النقد وما في حكمه,110001,1100,0,Cash,Asset,LYD
البنك - التجاري الوطني,النقد وما في حكمه,110002,1100,0,Bank,Asset,LYD
البنك - الجمهورية,النقد وما في حكمه,110003,1100,0,Bank,Asset,LYD
المدينون,الأصول,1200,1,1,Receivable,Asset,LYD
العملاء,المدينون,120001,1200,0,Receivable,Asset,LYD
السلف,المدينون,120002,1200,0,Receivable,Asset,LYD
عهد الموظفين,المدينون,120003,1200,0,Receivable,Asset,LYD
العهد والسلف,الأصول,1210,1,1,Receivable,Asset,LYD
عهدة نثرية - إدارة,العهد والسلف,121001,1210,0,Receivable,Asset,LYD
عهدة سفر,العهد والسلف,121002,1210,0,Receivable,Asset,LYD
عهدة صيانة سيارات,العهد والسلف,121003,1210,0,Receivable,Asset,LYD
عهدة مشتريات محلية,العهد والسلف,121004,1210,0,Receivable,Asset,LYD
المخزون,الأصول,1300,1,1,Stock,Asset,LYD
مخزون رئيسي,المخزون,130001,1300,0,Stock,Asset,LYD
مدفوعات مقدمة,الأصول,1400,1,1,Receivable,Asset,LYD
إيجار مقدم,مدفوعات مقدمة,140001,1400,0,Receivable,Asset,LYD
إيرادات مستحقة,مدفوعات مقدمة,140002,1400,0,Receivable,Asset,LYD
الأصول الثابتة,الأصول,1500,1,1,Fixed Asset,Asset,LYD
أثاث وتركيبات,الأصول الثابتة,150001,1500,0,Fixed Asset,Asset,LYD
معدات وآلات,الأصول الثابتة,150002,1500,0,Fixed Asset,Asset,LYD
مجمع إهلاك الأثاث,الأصول الثابتة,150003,1500,0,Accumulated Depreciation,Asset,LYD
مجمع إهلاك المعدات,الأصول الثابتة,150004,1500,0,Accumulated Depreciation,Asset,LYD
مباني,الأصول الثابتة,150005,1500,0,Fixed Asset,Asset,LYD
مجمع إهلاك المباني,الأصول الثابتة,150006,1500,0,Accumulated Depreciation,Asset,LYD
سيارات,الأصول الثابتة,150007,1500,0,Fixed Asset,Asset,LYD
مجمع إهلاك السيارات,الأصول الثابتة,150008,1500,0,Accumulated Depreciation,Asset,LYD
حسابات نظامية أصول,الأصول,1600,1,1,Temporary,Asset,LYD
Item Received But Not Billed,حسابات نظامية أصول,160001,1600,0,Temporary,Asset,LYD
حسابات معلقة,الأصول,1700,1,1,Temporary,Asset,LYD
حساب مؤقت - تسوية,حسابات معلقة,170001,1700,0,Temporary,Asset,LYD
أصول غير ملموسة,الأصول,1800,1,1,Fixed Asset,Asset,LYD
شهرة (Goodwill),أصول غير ملموسة,180001,1800,0,Fixed Asset,Asset,LYD
أصل حق استخدام,الأصول,1850,1,1,Fixed Asset,Asset,LYD
حق استخدام – مكتب,أصل حق استخدام,185001,1850,0,Fixed Asset,Asset,LYD
حق استخدام – خوادم,أصل حق استخدام,185002,1850,0,Fixed Asset,Asset,LYD
استثمارات,الأصول,1900,1,1,Fixed Asset,Asset,LYD
استثمار في شركات تابعة,استثمارات,190001,1900,0,Fixed Asset,Asset,LYD
استثمار في سندات وأوراق مالية,استثمارات,190002,1900,0,Fixed Asset,Asset,LYD
استثمار طويل الأجل,استثمارات,190003,1900,0,Fixed Asset,Asset,LYD
أصول محتفظ بها للبيع,الأصول,1990,1,1,Fixed Asset,Asset,LYD
أصل محتفظ به للبيع – سيارة,أصول محتفظ بها للبيع,199001,1990,0,Fixed Asset,Asset,LYD
أصل محتفظ به للبيع – معدات,أصول محتفظ بها للبيع,199002,1990,0,Fixed Asset,Asset,LYD
الخصوم,,2,,1,,Liability,LYD
الخصوم المتداولة,الخصوم,2100,2,1,Payable,Liability,LYD
دائنون,الخصوم المتداولة,210001,2100,0,Payable,Liability,LYD
مصروفات مستحقة,الخصوم المتداولة,210002,2100,0,Payable,Liability,LYD
إيرادات مؤجلة,الخصوم,2200,2,1,Current Liability,Liability,LYD
عمولات مؤجلة,إيرادات مؤجلة,220001,2200,0,Liability,Liability,LYD
هدايا مؤجلة للسائقين,إيرادات مؤجلة,220002,2200,0,Liability,Liability,LYD
التزامات الهدايا,الخصوم,2300,2,1,,Liability,LYD
رصيد هدايا السائقين,التزامات الهدايا,230001,2300,0,Payable,Liability,LYD
حسابات نظامية خصوم,الخصوم,2400,2,1,Temporary,Liability,LYD
Deferred Revenue,حسابات نظامية خصوم,240001,2400,0,Liability,Liability,LYD
Gift Credit Liability,حسابات نظامية خصوم,240002,2400,0,,Liability,LYD
حسابات مؤقتة,الخصوم,2500,2,1,Temporary,Liability,LYD
حساب قيد مؤقت,حسابات مؤقتة,250001,2500,0,Temporary,Liability,LYD
المخصصات,الخصوم,2600,2,1,Liability,Liability,LYD
مخصص مكافآت نهاية الخدمة,المخصصات,260001,2600,0,Liability,Liability,LYD
مخصص صيانة السيارات,المخصصات,260002,2600,0,Liability,Liability,LYD
مخصص مطالبات قانونية محتملة,المخصصات,260003,2600,0,Liability,Liability,LYD
قروض والتزامات مالية,الخصوم,2700,2,1,Liability,Liability,LYD
قرض بنكي طويل الأجل,قروض والتزامات مالية,270001,2700,0,Liability,Liability,LYD
قرض قصير الأجل,قروض والتزامات مالية,270002,2700,0,Liability,Liability,LYD
تسهيلات ائتمانية جارية,قروض والتزامات مالية,270003,2700,0,Liability,Liability,LYD
فوائد مستحقة الدفع,قروض والتزامات مالية,270004,2700,0,Current Liability,Liability,LYD
التزامات إيجار,الخصوم,2850,2,1,Liability,Liability,LYD
التزام إيجار – مكتب,التزامات إيجار,285001,2850,0,Liability,Liability,LYD
التزام إيجار – خوادم,التزامات إيجار,285002,2850,0,Liability,Liability,LYD
التزام إيجار – رخصة برمجية,التزامات إيجار,285003,2850,0,Liability,Liability,LYD
المحافظ,,3,,1,,Asset,LYD
محفظة السائقين,المحافظ,3100,3,1,,Asset,LYD
الرصيد القابل للاستخدام,محفظة السائقين,310001,3100,0,Payable,Asset,LYD
محفظة المستخدمين,المحافظ,3200,3,1,,Asset,LYD
الرصيد المجاني المستخدم,محفظة المستخدمين,320001,3200,0,Payable,Asset,LYD
حقوق الملكية,,4,,1,,Equity,LYD
رأس المال,حقوق الملكية,4100,4,1,Equity,Equity,LYD
رأس المال A,رأس المال,410001,4100,0,Equity,Equity,LYD
الاحتياطيات,حقوق الملكية,4200,4,1,Equity,Equity,LYD
أرباح محتجزة,الاحتياطيات,420001,4200,0,Equity,Equity,LYD
نتيجة الفترة,حقوق الملكية,4300,4,1,Income Account,Equity,LYD
صافي الدخل,نتيجة الفترة,430001,4300,0,Income Account,Equity,LYD
الشركاء,حقوق الملكية,4400,4,1,Equity,Equity,LYD
رأس مال الشريك أ,الشركاء,440001,4400,0,Equity,Equity,LYD
جاري الشريك أ,الشركاء,440002,4400,0,,Equity,LYD
المساهمين,حقوق الملكية,4500,4,1,Equity,Equity,LYD
رأس مال المساهم,المساهمين,450001,4500,0,Equity,Equity,LYD
أرباح معلقة - المساهمين,المساهمين,450002,4500,0,Equity,Equity,LYD
الإيرادات,,5,,1,,Income,LYD
إيرادات تشغيلية,الإيرادات,5100,5,1,Income Account,Income,LYD
